title,title_normalized,colonfix,single_resource,ignore,checked,multiple_resource,url,id
Digitization Projects: Göttinger Digitalisierungszentrums (GDZ),digitization projects: göttinger digitalisierungszentrums gdz,digitization projects,true,false,true,false,http://ancientworldonline.blogspot.com/2013/06/digitization-projects-gottinger.html,"tag:blogger.com,1999:blog-116259103207720939.post-7797374618616751166"
The Mamasani (Iran) Archaeological Project Online Publication,the mamasani iran archaeological project online publication,,true,false,true,false,http://ancientworldonline.blogspot.com/2010/01/mamasani-iran-archaeological-project.html,"tag:blogger.com,1999:blog-116259103207720939.post-6342864719488001108"
Open Access Introductions to Iranian Languages,open access introductions to iranian languages,,false,false,true,true,http://ancientworldonline.blogspot.com/2009/06/open-access-introductions-to-iranian.html,"tag:blogger.com,1999:blog-116259103207720939.post-4735539286725078176"
Open Access Journal: Dissertation Reviews,open access journal: dissertation reviews,open access journal,true,false,true,false,http://ancientworldonline.blogspot.com/2013/06/open-access-journal-dissertation-reviews.html,"tag:blogger.com,1999:blog-116259103207720939.post-5240272041506473688"
Digital Classicist Seminars and Podcasts,digital classicist seminars and podcasts,,false,false,false,false,http://ancientworldonline.blogspot.com/2010/07/digital-classicist-seminars-and.html,"tag:blogger.com,1999:blog-116259103207720939.post-7242536352008557323"
Archaeology in Greece Online / Chronique des fouilles en ligne,archaeology in greece online / chronique des fouilles en ligne,,false,false,false,false,http://ancientworldonline.blogspot.com/2009/11/archaeology-in-greece-onlinechronique.html,"tag:blogger.com,1999:blog-116259103207720939.post-9133837606212728969"
Announcement/Call for Papers: Classics Library Journal,announcement/call for papers: classics library journal,announcement/call for papers,false,true,true,false,http://ancientworldonline.blogspot.com/2013/06/announcementcall-for-papers-classics.html,"tag:blogger.com,1999:blog-116259103207720939.post-8756509567869681957"
Open Access Journal: Bollettino di Archeologia On Line,open access journal: bollettino di archeologia on line,open access journal,true,false,true,false,http://ancientworldonline.blogspot.com/2011/03/new-forthcoming-open-access-journal_14.html,"tag:blogger.com,1999:blog-116259103207720939.post-7310363511387679828"
Tracking Colour - the polychromy of Greek and Roman sculpture,tracking colour the polychromy of greek and roman sculpture,,false,false,false,false,http://ancientworldonline.blogspot.com/2013/06/tracking-colour-polychromy-of-greek-and.html,"tag:blogger.com,1999:blog-116259103207720939.post-2169898421255358865"
FACEM: Provenance Studies on Pottery in the Central Mediterranean,facem: provenance studies on pottery in the central mediterranean,facem,true,false,true,false,http://ancientworldonline.blogspot.com/2011/06/provenance-studies-on-pettery-in.html,"tag:blogger.com,1999:blog-116259103207720939.post-6902948491479878813"
Open Access Journal: Considerazioni di Storia ed Archeologia,open access journal: considerazioni di storia ed archeologia,open access journal,true,false,true,false,http://ancientworldonline.blogspot.com/2013/06/open-access-journal-considerazioni-di.html,"tag:blogger.com,1999:blog-116259103207720939.post-2110967114047064488"
Open Access Journal: ArcheoMolise,open access journal: archeomolise,open access journal,true,false,true,false,http://ancientworldonline.blogspot.com/2009/11/new-open-access-journal-archeomolise.html,"tag:blogger.com,1999:blog-116259103207720939.post-3092617626390263215"
Firenze University Press Open Access Publications,firenze university press open access publications,,false,false,true,true,http://ancientworldonline.blogspot.com/2013/06/firenze-university-press-open-access.html,"tag:blogger.com,1999:blog-116259103207720939.post-3815592693373532344"
Ancient Greek Tutorials,ancient greek tutorials,,false,false,false,false,http://ancientworldonline.blogspot.com/2013/06/ancient-greek-tutorials.html,"tag:blogger.com,1999:blog-116259103207720939.post-1877072299523590813"
RAM3D,ram3d,,false,false,false,false,http://ancientworldonline.blogspot.com/2013/06/ram3d.html,"tag:blogger.com,1999:blog-116259103207720939.post-879034998595948180"
(Partially) Open Access Journal: Археология (Reviews and News are open),partially open access journal: археология reviews and news are open,partially open access journal,true,false,true,false,http://ancientworldonline.blogspot.com/2013/06/partially-open-access-journal-reviews.html,"tag:blogger.com,1999:blog-116259103207720939.post-2449245252561912511"
LAWDI 2013: Coming to Grips with the Corpus of Open Access Scholarship on Antiquity In an Ancient World Digital Library,lawdi 2013: coming to grips with the corpus of open access scholarship on antiquity in an ancient world digital library,lawdi 2013,false,true,true,false,http://ancientworldonline.blogspot.com/2013/05/lawdi-2013-coming-to-grips-with-corpus.html,"tag:blogger.com,1999:blog-116259103207720939.post-4063648558046999236"
Open Access Journal: Archeologia e Calcolatori,open access journal: archeologia e calcolatori,open access journal,true,false,true,false,http://ancientworldonline.blogspot.com/2009/06/open-access-journal-archeologia-e.html,"tag:blogger.com,1999:blog-116259103207720939.post-7260436980107559763"
Il Progetto Caere Online,il progetto caere online,,false,false,false,false,http://ancientworldonline.blogspot.com/2013/05/il-progetto-caere-online.html,"tag:blogger.com,1999:blog-116259103207720939.post-223113617413722470"
Mandaic.org: Mandaic and Neo-Mandaic Texts and Resource,mandaicorg: mandaic and neomandaic texts and resource,mandaicorg,false,false,false,false,http://ancientworldonline.blogspot.com/2011/02/mandaic-online.html,"tag:blogger.com,1999:blog-116259103207720939.post-1452611229611926076"
Open Access Encyclopedia: Claremont Coptic Encyclopedia,open access encyclopedia: claremont coptic encyclopedia,open access encyclopedia,false,false,false,false,http://ancientworldonline.blogspot.com/2011/06/open-access-encyclopedia-claremont.html,"tag:blogger.com,1999:blog-116259103207720939.post-6308219987648813805"
Archaeology Data Service / Digital Antiquity: Guides to Good Practice,archaeology data service / digital antiquity: guides to good practice,archaeology data service / digital antiquity,true,false,true,false,http://ancientworldonline.blogspot.com/2012/05/archaeology-data-service-digital.html,"tag:blogger.com,1999:blog-116259103207720939.post-3584779364502951797"
The electronic publication of Oriental Institute Annual Reports is now complete,the electronic publication of oriental institute annual reports is now complete,,false,false,true,true,http://ancientworldonline.blogspot.com/2013/05/the-electronic-publication-of-oriental.html,"tag:blogger.com,1999:blog-116259103207720939.post-271376235497338450"
Hellenistic Far East Bibliography,hellenistic far east bibliography,,false,false,false,false,http://ancientworldonline.blogspot.com/2013/05/hellenistic-far-east-bibliography.html,"tag:blogger.com,1999:blog-116259103207720939.post-3052266872354383049"
LAWDI 2013 Websites,lawdi 2013 websites,,false,false,true,true,http://ancientworldonline.blogspot.com/2013/05/lawdi-2013-websites.html,"tag:blogger.com,1999:blog-116259103207720939.post-3856022342995117994"
,,,false,true,true,false,,"tag:blogger.com,1999:blog-116259103207720939.post-5737724105410788424"
Open Access Journal: AnthroJournal,open access journal: anthrojournal,open access journal,true,false,true,false,http://ancientworldonline.blogspot.com/2011/10/new-open-access-journal-anthrojournal.html,"tag:blogger.com,1999:blog-116259103207720939.post-9191121648101549531"
Getty Vocabularies - Linked Open Data,getty vocabularies linked open data,,false,false,true,true,http://ancientworldonline.blogspot.com/2013/05/getty-vocabularies.html,"tag:blogger.com,1999:blog-116259103207720939.post-1683886241928062236"
Thesaurus Linguae Graecae (TLG®) Updates,thesaurus linguae graecae tlg® updates,,false,true,true,false,http://ancientworldonline.blogspot.com/2013/05/thesaurus-linguae-graecae-tlg-updates.html,"tag:blogger.com,1999:blog-116259103207720939.post-3369758668472116505"
The Digital Classicist Wiki,the digital classicist wiki,,false,false,false,false,http://ancientworldonline.blogspot.com/2010/02/digital-classicist-wiki.html,"tag:blogger.com,1999:blog-116259103207720939.post-7767425908937298109"
Open Access Journal: Living Past: Online Magazine of Experimental Archaeology and Ethnography,open access journal: living past: online magazine of experimental archaeology and ethnography,open access journal,true,false,true,false,http://ancientworldonline.blogspot.com/2010/07/new-open-access-journal-living-past.html,"tag:blogger.com,1999:blog-116259103207720939.post-8833791000363306851"
Digital Philologisches Schriftsteller-Lexikon,digital philologisches schriftstellerlexikon,,false,false,false,false,http://ancientworldonline.blogspot.com/2013/05/digital-philologisches-schriftsteller.html,"tag:blogger.com,1999:blog-116259103207720939.post-2265548404416906731"
Catalogus Philologorum Classicorum (CPhCl),catalogus philologorum classicorum cphcl,,false,false,false,false,http://ancientworldonline.blogspot.com/2011/01/catalogus-philologorum-classicorum.html,"tag:blogger.com,1999:blog-116259103207720939.post-8353330024906193903"
ArchaeologicalTraces.org: DISSERTATIONS ARCHIVE SERIES,archaeologicaltracesorg: dissertations archive series,archaeologicaltracesorg,true,false,true,false,http://ancientworldonline.blogspot.com/2011/04/archaeologicaltracesorg-dissertations.html,"tag:blogger.com,1999:blog-116259103207720939.post-498753830176936709"
Open Access Journal: Traces In Time ejournal,open access journal: traces in time ejournal,open access journal,true,false,true,false,http://ancientworldonline.blogspot.com/2010/07/new-open-access-journal-traces-in-time.html,"tag:blogger.com,1999:blog-116259103207720939.post-1682802497892808316"
A Digital Tutorial For Ancient Greek Based on White's First Greek Book,a digital tutorial for ancient greek based on whites first greek book,,true,false,true,false,http://ancientworldonline.blogspot.com/2013/05/a-digital-tutorial-for-ancient-greek.html,"tag:blogger.com,1999:blog-116259103207720939.post-3223957040219465734"
Aegeus Image Database,aegeus image database,,true,false,true,false,http://ancientworldonline.blogspot.com/2013/05/aegeus-image-database.html,"tag:blogger.com,1999:blog-116259103207720939.post-5686270910017440413"
iTanakh Update,itanakh update,,false,true,true,false,http://ancientworldonline.blogspot.com/2013/05/itanakh-update.html,"tag:blogger.com,1999:blog-116259103207720939.post-5381763851982419344"
ARIADNE - archaeological research data infrastructure,ariadne archaeological research data infrastructure,,true,false,true,false,http://ancientworldonline.blogspot.com/2013/05/ariadne-archaeological-research-data.html,"tag:blogger.com,1999:blog-116259103207720939.post-1405141359464471420"
Open Access Journal: Gerda Henkel Stiftung: Jahresbericht,open access journal: gerda henkel stiftung: jahresbericht,open access journal,true,false,true,false,http://ancientworldonline.blogspot.com/2013/05/open-access-journal-gerda-henkel.html,"tag:blogger.com,1999:blog-116259103207720939.post-4548851896008734322"
REFEMA: Rôle Économique des Femmes en Mésopotamie Ancienne,refema: rôle économique des femmes en mésopotamie ancienne,refema,false,false,false,false,http://ancientworldonline.blogspot.com/2013/05/refema-role-economique-des-femmes-en.html,"tag:blogger.com,1999:blog-116259103207720939.post-3702288104723906558"
Open Access Journal: Bulletin de Correspondance Hellénique,open access journal: bulletin de correspondance hellénique,open access journal,true,false,true,false,http://ancientworldonline.blogspot.com/2012/02/open-access-journal-bulletin-de.html,"tag:blogger.com,1999:blog-116259103207720939.post-3328278877047329476"
MUDIRA: MUnich DIgital Research Archives,mudira: munich digital research archives,mudira,false,false,false,false,http://ancientworldonline.blogspot.com/2013/05/mudira-munich-digital-research-archives.html,"tag:blogger.com,1999:blog-116259103207720939.post-51927873962314770"
Open Access Library: Trismegistos,open access library: trismegistos,open access library,true,false,true,false,http://ancientworldonline.blogspot.com/2009/10/open-access-library-trismegistos.html,"tag:blogger.com,1999:blog-116259103207720939.post-3360883248438106183"
Open Access Journal: Minos: Revista de Filología Egea,open access journal: minos: revista de filología egea,open access journal,true,false,true,false,http://ancientworldonline.blogspot.com/2010/01/open-access-journal-minos.html,"tag:blogger.com,1999:blog-116259103207720939.post-4879755691996232435"
Open Access Encyclopedia of Second Temple Judaism,open access encyclopedia of second temple judaism,,false,false,false,false,http://ancientworldonline.blogspot.com/2009/11/open-access-encyclopedia-of-second.html,"tag:blogger.com,1999:blog-116259103207720939.post-5899896663274737733"
Open Access Journal: Synthesis,open access journal: synthesis,open access journal,true,false,true,false,http://ancientworldonline.blogspot.com/2013/05/open-access-journal-synthesis.html,"tag:blogger.com,1999:blog-116259103207720939.post-1769595443435270814"
Our Heroic Debate with the Eumenides,our heroic debate with the eumenides,,false,false,false,false,http://ancientworldonline.blogspot.com/2013/05/our-heroic-debate-with-eumenides.html,"tag:blogger.com,1999:blog-116259103207720939.post-780408443028473367"
Open Access Journal: The International Journal of Humanities of the Islamic Republic of Iran,open access journal: the international journal of humanities of the islamic republic of iran,open access journal,true,false,true,false,http://ancientworldonline.blogspot.com/2013/05/open-access-journal-international.html,"tag:blogger.com,1999:blog-116259103207720939.post-7342126427426317232"
Severan Database Project,severan database project,,true,false,true,false,http://ancientworldonline.blogspot.com/2013/05/severan-database-project.html,"tag:blogger.com,1999:blog-116259103207720939.post-6738841839259111335"
